,T,S,O,Q,Y,J
T,1,0.157,0.421,0.434,0.295,0.785
S,0.157,1,0.227,0.235,0.334,0.333
O,0.421,0.227,1,0.395,0.29,0.579
Q,0.434,0.235,0.395,1,0.283,0.604
Y,0.295,0.334,0.29,0.283,1,0.551
J,0.785,0.333,0.579,0.604,0.551,1
