,T,S,O,Q,Y,J
T,1,0.143,0.48,0.52,0.5,0.696
S,0.143,1,0.286,0.429,0.286,0.286
O,0.48,0.286,1,0.28,0.25,0.64
Q,0.52,0.429,0.28,1,0.125,0.52
Y,0.5,0.286,0.25,0.125,1,0.625
J,0.696,0.286,0.64,0.52,0.625,1
